product_id,name,brand,category,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity
94,Maggi 2 Minute Masala Noodles,Maggi,Cooking Essentials,1200,0,6,1200,70,False,70
95,iD Idli & Dosa Batter ,iD,Cooking Essentials,8000,15,6,6800,1000,False,1
96,Tata Salt,Tata,Cooking Essentials,2400,0,6,2400,1000,False,1
97,Arden Eggs White,Arden,Cooking Essentials,9700,0,4,9700,696,False,12
98,Arden Eggs White,Arden,Cooking Essentials,6500,15,4,5500,348,False,6
99,Fortune Sunlite Refined Sunflower (Pouch),Fortune,Cooking Essentials,23000,4,6,21900,1000,False,1
100,Aashirvaad Superior MP Atta,Aashirvaad,Cooking Essentials,25000,2,6,24500,5000,False,5
101,Amul Pure Ghee (Pouch),Amul,Cooking Essentials,25500,2,6,24900,500,False,500
102,Arden Eggs Brown,Arden,Cooking Essentials,8500,7,4,7900,348,False,6
103,Tata Salt Lite,Tata,Cooking Essentials,4000,10,6,3600,1000,False,1
104,Saffola Gold Oil (Pouch),Saffola,Cooking Essentials,21500,0,6,21500,1000,False,1
105,Fortune Sunlite Refined Sunflower (Jar),Fortune,Cooking Essentials,92500,0,6,92500,5000,False,5
106,Fortune Rice Bran (Pouch),Fortune,Cooking Essentials,22500,11,6,19900,1000,False,1
107,Saffola Active Oil,Saffola,Cooking Essentials,21000,0,6,21000,1000,False,1
108,Amul Pure Ghee (Pouch),Amul,Cooking Essentials,50500,1,2,49900,1000,False,1
109,Aashirvaad Atta,Aashirvaad,Cooking Essentials,46000,13,6,39900,10000,False,10
110,Popular Essentials Toor Dal (Un-Polished),Popular Essentials,Cooking Essentials,16000,6,4,14900,1000,False,1
111,Amul Ghee (Tin),Amul,Cooking Essentials,52000,2,6,50900,1000,False,1
112,Amul Fresh Cream,Amul,Cooking Essentials,19700,3,3,19100,1000,False,1
113,Popular Essentials Pure Jaggery,Popular Essentials,Cooking Essentials,5000,2,6,4900,450,False,450
114,Aashirvaad Multigrain Atta,Aashirvaad,Cooking Essentials,6400,3,2,6200,1000,False,1
115,Fortune Soyabean Oil,Fortune,Cooking Essentials,100500,0,6,99900,5000,False,5
116,Popular Essentials Sunflower Seeds,Popular Essentials,Cooking Essentials,2500,0,6,2500,50,False,50
117,Tata Sampann kabuli chana,Tata,Cooking Essentials,18500,1,4,18300,1000,False,500
118,Dhara Groundnut Oil (Pouch),Dhara,Cooking Essentials,23000,11,6,20300,1000,False,1
119,Dhara Health Refined Sun Flower Oil Jar,Dhara,Cooking Essentials,120000,18,6,98400,5000,False,5
120,24 Mantra Organic Jaggery Powder,24 Mantra,Cooking Essentials,8000,15,6,6800,500,False,500
121,Tata Sampann High Protien Kabuli Chana,Tata,Cooking Essentials,9400,0,1,9400,500,False,500
122,Dhara Kachi Ghani Mustard Oil Jar,Dhara,Cooking Essentials,125000,8,6,114300,5000,False,5
123,D'lecta Dairy Cream,D'lecta,Cooking Essentials,5400,5,6,5100,200,False,200
124,Ching's Secret Instant Hot Garlic Noodles,Ching's,Cooking Essentials,1500,0,3,1500,60,False,60
125,Dabur Ginger Garlic Paste,Dabur,Cooking Essentials,2500,8,3,2300,100,False,100
126,Ching's Secret Instant Schezwan Noodles,Ching's,Cooking Essentials,1500,0,6,1500,60,False,60
127,Gowardhan Ghee/Tuppa Jar,Gowardhan,Cooking Essentials,31500,1,6,30900,500,False,500
128,Tata Sampann Unpolished Moong Dal ,Tata,Cooking Essentials,9200,4,4,8800,500,False,500
129,Aashirvaad Select Atta,Aashirvaad,Cooking Essentials,6400,0,6,6400,1000,False,1
130,Popular Essentials Misri Dana (Diamond Sugar) ,Popular Essentials,Cooking Essentials,1500,0,4,1500,100,False,100
131,Gowardhan Ghee Jar,Gowardhan,Cooking Essentials,59800,3,6,57900,1000,False,1
132,Top Ramen  Noodles Curry Veg Pouch,Top Ramen,Cooking Essentials,2000,0,1,2000,70,False,70
133,Popular Essentials Refined Sugar,Popular Essentials,Cooking Essentials,6000,0,6,6000,1000,False,1
134,Fortune Kachi Ghani Mustard Oil Bottle,Fortune,Cooking Essentials,21600,7,6,19900,1000,False,1
135,Saffola Veggie Twist Masala Oats,Saffola,Cooking Essentials,1500,0,6,1500,38,False,38
136,Satyam Puffed Rice Kurmura (R),Satyam,Cooking Essentials,2300,0,6,2300,200,False,200
137,Quaker Oats,Quaker Oats,Cooking Essentials,7900,0,2,7900,400,False,400
138,Aashirvaad Select Sharbati Atta,Aashirvaad,Cooking Essentials,31500,10,6,28300,5000,False,5
139,Popular Essentials Refined Sugar,Popular Essentials,Cooking Essentials,29500,10,6,26500,5000,False,5
140,Gowardhan Cow Ghee Pouch,Gowardhan,Cooking Essentials,57900,10,6,52100,1000,False,1
141,Dhara Nourish Refined Sunflower Oil Pouch,Dhara,Cooking Essentials,21000,5,6,19900,1000,False,1
142,Parachute Oil ,Parachute,Cooking Essentials,4000,7,3,3700,100,False,100
143,Popular Essentials Plain Puffed Rice (Murmura/Muri),Popular Essentials,Cooking Essentials,1800,0,6,1800,100,False,100
144,Amul Mithai Mate Condensed Sweetened Milk,Amul,Cooking Essentials,5600,3,4,5400,200,False,200
145,Saffola Gold (Jar),Saffola,Cooking Essentials,124000,0,6,124000,5000,False,5
146,McCain New Mini Samosa with Cheese Pizza Style Filling,McCain,Cooking Essentials,12000,1,3,11800,240,False,240
147,Fortune Rice Bran Health Oil (Jar),Fortune,Cooking Essentials,105000,1,6,103900,5000,False,5
148,Arden Desi Eggs,Arden,Cooking Essentials,11000,13,4,9500,348,False,6
149,Fortune Rozana Basmati Rice,Fortune,Cooking Essentials,58500,21,6,46200,5000,False,5
150,Fortune Biriyani Special Basmati Rice,Fortune,Cooking Essentials,17500,0,5,17500,1000,False,1
