product_id,name,net_qty,offer_price,discount,mrp,category,image_urls,product_highlights,product_information,search_phrase
94,Maggi 2-Minute Noodles Masala 70 g Combo,70 g X 3,₹42,6% Off,₹45,Cooking Essentials,"['https://cdn.zeptonow.com/production/ik-seo/tr:w-640,ar-1500-1500,pr-true,f-auto,q-80/cms/product_variant/1bcc4fea-fec6-4708-b300-ca54983249c5/Maggi-2-Minute-Noodles-Masala-70-g-Combo.jpg', 'https://cdn.zeptonow.com/production/ik-seo/tr:w-640,ar-1210-700,pr-true,f-auto,q-80/inventory/IMAGE/c55e1c9f-8d21-4153-bf29-46892d57c616-Screenshot_2022-08-26_at_15.35.02/Maggi-2-Minute-Noodles-Masala-70-g-Combo.png']","{'Brand': 'Maggi', 'Weight': '70 g x 3'}","{'Disclaimer': 'All images are for representational purposes only. It is advised that you read the batch and manufacturing details, directions for use, allergen information, health and nutritional claims (wherever applicable), and other details mentioned on the label before consuming the product. For combo items, individual prices can be viewed on the page.', 'Customer Care Details': 'In case of any issue, contact us E-mail address: support@zeptonow.com', 'Seller Name': 'Geddit Convenience Private Limited', 'Seller Address': 'Geddit Convenience Private Limited, Unit 803, Lodha Supremus, Saki Vihar Road, Opp MTNL, Office, Powai, Mumbai, Maharashtra, India,400072 For Support ReachOut : support+geddit@zeptonow.com', 'Seller License No.': '11521998000248'}",Zepto Maggi 2 Minute Masala Noodles 70g 12.0 rupees
96,Tata Salt Crystal 1 kg Combo,1 kg X 2,₹40,9% Off,₹44,Cooking Essentials,"['https://cdn.zeptonow.com/production/ik-seo/tr:w-1280,ar-1500-1500,pr-true,f-auto,q-80/inventory/product/17cdeac6-50b4-4aad-b798-ee6c989c075e-2665/Tata-Salt-Crystal-1-kg-Combo.jpg', 'https://cdn.zeptonow.com/production/ik-seo/tr:w-1210,ar-1210-700,pr-true,f-auto,q-80/inventory/IMAGE/c55e1c9f-8d21-4153-bf29-46892d57c616-Screenshot_2022-08-26_at_15.35.02/Tata-Salt-Crystal-1-kg-Combo.png']","{'Brand': 'Tata', 'Weight': '1 kg x 2'}","{'Disclaimer': 'All images are for representational purposes only. It is advised that you read the batch and manufacturing details, directions for use, allergen information, health and nutritional claims (wherever applicable), and other details mentioned on the label before consuming the product. For combo items, individual prices can be viewed on the page.', 'Customer Care Details': 'In case of any issue, contact us E-mail address: support@zeptonow.com', 'Seller Name': 'Geddit Convenience Private Limited', 'Seller Address': 'Geddit Convenience Private Limited, Unit 803, Lodha Supremus, Saki Vihar Road, Opp MTNL, Office, Powai, Mumbai, Maharashtra, India,400072 For Support ReachOut : support+geddit@zeptonow.com', 'Seller License No.': '11521998000248'}",Zepto Tata Salt 1000g 24.0 rupees
99,Fortune Sunlite Refined Sunflower Oil | Pouch,870 g,₹157,12% Off,₹180,Cooking Essentials,"['https://cdn.zeptonow.com/production/ik-seo/tr:w-1280,ar-4265-5902,pr-true,f-auto,q-80/cms/product_variant/9a5695f1-d480-4fee-9e9c-45c42cc17172/Fortune-Sunlite-Refined-Sunflower-Oil-Pouch.jpg', 'https://cdn.zeptonow.com/production/ik-seo/tr:w-1280,ar-4231-6600,pr-true,f-auto,q-80/cms/product_variant/d4af4ca5-d68b-453f-9ddc-d2655d54265f/Fortune-Sunlite-Refined-Sunflower-Oil-Pouch.jpg', 'https://cdn.zeptonow.com/production/ik-seo/tr:w-900,ar-900-900,pr-true,f-auto,q-80/inventory/product/a83155e4-81b3-49c4-8121-a6cc86e3b0ce-1z7S8NvB4WubuhMHuXU-bKZimcxPV0prw/Fortune-Sunlite-Refined-Sunflower-Oil-Pouch.jpeg', 'https://cdn.zeptonow.com/production/ik-seo/tr:w-900,ar-900-900,pr-true,f-auto,q-80/inventory/product/a83155e4-81b3-49c4-8121-a6cc86e3b0ce-1xAKbgV1Ioln8JcqluEhKonlqtHoqWeIe/Fortune-Sunlite-Refined-Sunflower-Oil-Pouch.jpeg', 'https://cdn.zeptonow.com/production/ik-seo/tr:w-640,ar-499-832,pr-true,f-auto,q-80/inventory/product/a83155e4-81b3-49c4-8121-a6cc86e3b0ce-1RIbwj29EROxR4lGIUXBFmuWm-QSfa8Gl/Fortune-Sunlite-Refined-Sunflower-Oil-Pouch.jpeg', 'https://cdn.zeptonow.com/production/ik-seo/tr:w-1210,ar-1210-700,pr-true,f-auto,q-80/inventory/IMAGE/c55e1c9f-8d21-4153-bf29-46892d57c616-Screenshot_2022-08-26_at_15.35.02/Fortune-Sunlite-Refined-Sunflower-Oil-Pouch.png']","{'Organic': 'No', 'Brand': 'Fortune', 'Dietary Preference': 'Veg', 'Fssai License': '10013021000661, 10012021000053, 10019021004368, 10012043000154, 10012044000058, 10012044000244, 10012044000060', 'Ingredients': 'Refined sunflower oil, permitted antioxidant-tbhq (e-319), vitamin a and vitamin d.', 'Key Features': 'Refined sunflower oil is one of the most commonly used ingredients in an Indian household. This oil is ideal for your cooking needs. Use sunflower oil for roast potatoes, Yorkshire puddings, stir-frying vegetables, or even in bakes as a replacement for butter. Healthy, light, easy to digest, rich in vitamin E that keeps your skin healthy, strengthens your immune system, and helps to keep the heart in good condition', 'Material Type Free': 'Cholesterol-free', 'Nutrition Information': 'Energy (kcal) 900.0, Protein (g) 0.0, Carbohydrates (g) 0.0, Fat (g) 100.0, Saturated Fatty Acids (g) 17.0, Mono Unsaturated Fatty Acids (g) 14.0, Poly Unsaturated Fatty Acids (g) 49.0, Trans Fatty Acids (g) 2.0, Added Vitamin A (mcg) 750.0, Added Vitamin D (mcg) 11.25', 'Packaging Type': 'Pouch', 'Processing Type': 'Refined', 'Product Type': 'Sunflower Oil', 'Storage Instruction': 'Store in a cool, dry and hygienic place and avoid direct sunlight', 'Used For': 'Cooking, Frying, and Sauteing', 'Weight': '1 L'}","{'Disclaimer': 'All images are for representational purposes only. It is advised that you read the batch and manufacturing details, directions for use, allergen information, health and nutritional claims (wherever applicable), and other details mentioned on the label before consuming the product. For combo items, individual prices can be viewed on the page.', 'Customer Care Details': 'In case of any issue, contact us E-mail address: support@zeptonow.com', 'Seller Name': 'Geddit Convenience Private Limited', 'Seller Address': 'Geddit Convenience Private Limited, Unit 803, Lodha Supremus, Saki Vihar Road, Opp MTNL, Office, Powai, Mumbai, Maharashtra, India,400072 For Support ReachOut : support+geddit@zeptonow.com', 'Seller License No.': '11521998000248', 'Manufacturer Name': 'Adani Wilmar Limited', 'Manufacturer Address': 'Adani Wilmar Limited, Adani Corporate House, Shantigram, Near Vaishnodevi Circle, S G Highway, Ahmedabad-382421, Gujarat, India.', 'Country Of Origin': 'India', 'Shelf Life': '9 months'}",Zepto Fortune Sunlite Refined Sunflower (Pouch) 1000g 230.0 rupees
100,"Aashirvaad Atta - Superior MP Whole Wheat, No Maida | Pouch",5 kg,₹285,8% Off,₹311,Cooking Essentials,"['https://cdn.zeptonow.com/production/ik-seo/tr:w-1280,ar-1500-1500,pr-true,f-auto,q-80/cms/product_variant/049227ba-753f-4e3f-8649-f0666b3244b0/Aashirvaad-Atta-Superior-MP-Whole-Wheat-No-Maida-Pouch.jpeg', 'https://cdn.zeptonow.com/production/ik-seo/tr:w-1280,ar-1500-1500,pr-true,f-auto,q-80/cms/product_variant/05c3e18d-6fc4-4a0e-915f-a03814fa5ffa/Aashirvaad-Atta-Superior-MP-Whole-Wheat-No-Maida-Pouch.jpeg', 'https://cdn.zeptonow.com/production/ik-seo/tr:w-1280,ar-2500-2500,pr-true,f-auto,q-80/cms/product_variant/3dddaaf9-cd75-4dfd-a828-8fcb7e2a32d2/Aashirvaad-Atta-Superior-MP-Whole-Wheat-No-Maida-Pouch.jpeg', 'https://cdn.zeptonow.com/production/ik-seo/tr:w-1280,ar-2500-2500,pr-true,f-auto,q-80/cms/product_variant/4c122f98-39c9-40bd-9e01-a062e853d15f/Aashirvaad-Atta-Superior-MP-Whole-Wheat-No-Maida-Pouch.jpeg', 'https://cdn.zeptonow.com/production/ik-seo/tr:w-1280,ar-2500-2500,pr-true,f-auto,q-80/cms/product_variant/96323b59-ff23-40c6-811e-09fe75078d9a/Aashirvaad-Atta-Superior-MP-Whole-Wheat-No-Maida-Pouch.jpeg', 'https://cdn.zeptonow.com/production/ik-seo/tr:w-1280,ar-2500-2500,pr-true,f-auto,q-80/cms/product_variant/fd730bb6-75b6-4c82-9099-88f18bbad927/Aashirvaad-Atta-Superior-MP-Whole-Wheat-No-Maida-Pouch.jpeg', 'https://cdn.zeptonow.com/production/ik-seo/tr:w-1280,ar-1500-1500,pr-true,f-auto,q-80/cms/product_variant/4ff6b2ec-7c0c-4c55-8d1b-2706b46afdeb/Aashirvaad-Atta-Superior-MP-Whole-Wheat-No-Maida-Pouch.jpeg', 'https://cdn.zeptonow.com/production/ik-seo/tr:w-1280,ar-2500-2500,pr-true,f-auto,q-80/cms/product_variant/d103097b-1b5a-48ee-85eb-bc596201ac88/Aashirvaad-Atta-Superior-MP-Whole-Wheat-No-Maida-Pouch.jpeg', 'https://cdn.zeptonow.com/production/ik-seo/tr:w-1280,ar-2500-2500,pr-true,f-auto,q-80/cms/product_variant/1286796c-f01e-4792-9735-f8c5ecf0aa2a/Aashirvaad-Atta-Superior-MP-Whole-Wheat-No-Maida-Pouch.jpeg', 'https://cdn.zeptonow.com/production/ik-seo/tr:w-1280,ar-2500-2500,pr-true,f-auto,q-80/cms/product_variant/fbb899a3-2705-465e-a35f-d19af258c50a/Aashirvaad-Atta-Superior-MP-Whole-Wheat-No-Maida-Pouch.jpeg', 'https://cdn.zeptonow.com/production/ik-seo/tr:w-1210,ar-1210-700,pr-true,f-auto,q-80/inventory/IMAGE/c55e1c9f-8d21-4153-bf29-46892d57c616-Screenshot_2022-08-26_at_15.35.02/Aashirvaad-Atta-Superior-MP-Whole-Wheat-No-Maida-Pouch.png']","{'Organic': 'No', 'Allergen Information': 'Contains: Wheat. May contain: Oats and Soy', 'Brand': 'Aashirvaad', 'Dietary Preference': 'Veg', 'Fssai License': '10012031000312', 'Ingredients': 'Whole Wheat', 'Key Features': '100% whole wheat, no maida, High in fiber, Source of protein, Soft and fluffy rotis', 'Material Type Free': 'Maida-free', 'Model Name': 'Superior MP', 'Nutrition Information': 'Energy (kcal) 338.0, Protein (g) 10.7, Carbohydrate (g) 76.0, Total Sugars (g) 3.6, Added Sugars (g) 0.0, Dietary Fiber (g) 10.4, Total fat (g) 1.3, Saturated Fat (g) 0.3, Trans Fat (g) 0.0, Cholesterol (mg) 0.0, Sodium (mg) 1.5', 'Packaging Type': 'Pouch', 'Product Type': 'Whole Wheat Atta', 'Storage Instruction': 'After opening the pack, transfer the contents to an airtight container. Store in a cool and dry place. Keep away from direct sunlight', 'Unit': '1 pack', 'Used For': 'Cooking', 'Weight': '5 kg'}","{'Disclaimer': 'All images are for representational purposes only. It is advised that you read the batch and manufacturing details, directions for use, allergen information, health and nutritional claims (wherever applicable), and other details mentioned on the label before consuming the product. For combo items, individual prices can be viewed on the page.', 'Customer Care Details': 'In case of any issue, contact us E-mail address: support@zeptonow.com', 'Seller Name': 'Drogheria Sellers Private Limited', 'Seller Address': 'Brigade IRV, 9th & 10th Floors, Nallurhalli, White Field, Bangalore, Banglore, Karnataka, India, 560066 For Support ReachOut : support+drogheria@zeptonow.com', 'Seller License No.': '11522998001570', 'Manufacturer Address': 'ITC Limited, 37, J.L. Nehru Road, Kolkata- 700071', 'Country Of Origin': 'India', 'Manufacturer Name': 'ITC Limited', 'Shelf Life': '90 days'}",Zepto Aashirvaad Superior MP Atta 5000g 250.0 rupees
101,Amul Pure Ghee Pouch,500 ml,₹315,1% Off,₹320,Cooking Essentials,"['https://cdn.zeptonow.com/production/ik-seo/tr:w-1021,ar-1021-1021,pr-true,f-auto,q-80/cms/product_variant/1361f1dd-7c8c-4b50-9b82-39fac336c765/Amul-Pure-Ghee-Pouch.jpeg', 'https://cdn.zeptonow.com/production/ik-seo/tr:w-1280,ar-3000-3000,pr-true,f-auto,q-80/inventory/product/f3b7f506-f485-4233-979c-eab96079fa7a-1iMDhkIBbSYHNn5Q21ZtZWl2sug-p8Y_B/Amul-Pure-Ghee-Pouch.jpeg', 'https://cdn.zeptonow.com/production/ik-seo/tr:w-1280,ar-3000-3000,pr-true,f-auto,q-80/inventory/product/f3b7f506-f485-4233-979c-eab96079fa7a-1xDTjb65yoZG0zu-4uE7JRUFlIRKecJ3l/Amul-Pure-Ghee-Pouch.jpeg', 'https://cdn.zeptonow.com/production/ik-seo/tr:w-1000,ar-1000-1000,pr-true,f-auto,q-80/inventory/product/f3b7f506-f485-4233-979c-eab96079fa7a-1U9cUXVZBV7M_9iauPAG8ET8bl6c9kqh6/Amul-Pure-Ghee-Pouch.jpeg', 'https://cdn.zeptonow.com/production/ik-seo/tr:w-1000,ar-1000-1000,pr-true,f-auto,q-80/inventory/product/f3b7f506-f485-4233-979c-eab96079fa7a-1KskkQXJZRhzMjZHefHQQfOvgTpQe5Cnp/Amul-Pure-Ghee-Pouch.jpeg', 'https://cdn.zeptonow.com/production/ik-seo/tr:w-1210,ar-1210-700,pr-true,f-auto,q-80/inventory/IMAGE/c55e1c9f-8d21-4153-bf29-46892d57c616-Screenshot_2022-08-26_at_15.35.02/Amul-Pure-Ghee-Pouch.png']","{'Organic': 'No', 'Allergen Information': 'Contains: Milk', 'Brand': 'Amul', 'Dietary Preference': 'Veg', 'Key Features': 'Pure buffalo milk ghee with rich aroma, Perfect for traditional Indian cooking, Trusted brand with consistent quality', 'Material Type Free': 'Gluten-free', 'Nutrition Information': 'Energy (Kcal) 897, Total Fat (g) 99.7, Saturated Fat (g) 60.0, Trans Fat (g) 0.0, Cholesterol (mg) 280, Carbohydrate (g) 0.0, Total Sugars (g) 0.0, Added Sugars (g) 0.0, Protein (g) 0.0, Vitamin A (Âµg) 700', 'Packaging Type': 'Pouch', 'Product Type': 'Buffalo Ghee', 'Storage Instruction': 'Store in a cool, dry place away from direct sunlight', 'Unit': '1 pc', 'Used For': 'Cooking, Garnishing, and Sweets', 'Weight': '500 ml'}","{'Disclaimer': 'All images are for representational purposes only. It is advised that you read the batch and manufacturing details, directions for use, allergen information, health and nutritional claims (wherever applicable), and other details mentioned on the label before consuming the product. For combo items, individual prices can be viewed on the page.', 'Customer Care Details': 'In case of any issue, contact us E-mail address: support@zeptonow.com', 'Seller Name': 'Commodum Groceries Private Limited', 'Seller Address': 'COMMODUM GROCERIES PRIVATE LIMITED, Regd. Office: 44, Saket Building, Mullick Bazaar, Park Street, Kolkata, West Bengal, India, 700016. For Support ReachOut : support+commodum@zeptonow.com', 'Seller License No.': '12822999000310', 'Manufacturer Address': 'Gujarat Co-Operative Milk Marketing Federation, Po Box 10, Amul Dairy Road, Anand 388 001, Gujarat, India.', 'Country Of Origin': 'India', 'Manufacturer Name': 'Gujarat Co-Operative Milk Marketing Federation', 'Shelf Life': '9 months'}",Zepto Amul Pure Ghee (Pouch) 500g 255.0 rupees
102,Arden Eggs Brown,6 piece,₹85,10% Off,₹95,Cooking Essentials,"['https://cdn.zeptonow.com/production/ik-seo/tr:w-800,ar-800-800,pr-true,f-auto,q-80/inventory/product/64afe177-35fd-481d-8c61-cf848de30725-1KTUA5ydKMYbYgAbKwjgDFo02bJy0Nwn5/Arden-Eggs-Brown.jpeg', 'https://cdn.zeptonow.com/production/ik-seo/tr:w-900,ar-900-900,pr-true,f-auto,q-80/inventory/product/64afe177-35fd-481d-8c61-cf848de30725-1ZyqmMNAjw2UUPd0ivjzmlyJM0opyqEaL/Arden-Eggs-Brown.jpeg', 'https://cdn.zeptonow.com/production/ik-seo/tr:w-1280,ar-1700-1700,pr-true,f-auto,q-80/inventory/product/64afe177-35fd-481d-8c61-cf848de30725-1J8TV9WkeIbjiz4Ao-i3mkPgymkL8Ig4z/Arden-Eggs-Brown.jpeg', 'https://cdn.zeptonow.com/production/ik-seo/tr:w-1210,ar-1210-700,pr-true,f-auto,q-80/inventory/IMAGE/c55e1c9f-8d21-4153-bf29-46892d57c616-Screenshot_2022-08-26_at_15.35.02/Arden-Eggs-Brown.png']",{'Brand': 'Arden'},"{'Disclaimer': 'All images are for representational purposes only. It is advised that you read the batch and manufacturing details, directions for use, allergen information, health and nutritional claims (wherever applicable), and other details mentioned on the label before consuming the product. For combo items, individual prices can be viewed on the page.', 'Customer Care Details': 'In case of any issue, contact us E-mail address: support@zeptonow.com', 'Seller Name': 'Geddit Convenience Private Limited', 'Seller Address': 'Geddit Convenience Private Limited, Unit 803, Lodha Supremus, Saki Vihar Road, Opp MTNL, Office, Powai, Mumbai, Maharashtra, India,400072 For Support ReachOut : support+geddit@zeptonow.com', 'Seller License No.': '11521998000248', 'Country Of Origin': 'India', 'Manufacturer Name': 'Arden', 'Shelf Life': '18 days'}",Zepto Arden Eggs Brown 348g 85.0 rupees
103,Tata Salt Lite | 15% Low Sodium Iodized Salt 1 kg Combo,1 kg X 2,₹94,6% Off,₹100,Cooking Essentials,"['https://cdn.zeptonow.com/production/ik-seo/tr:w-1280,ar-1500-1500,pr-true,f-auto,q-80/inventory/product/ed9fdfd5-6536-4a16-9d70-b055fa36ec34-103/Tata-Salt-Lite-15-Low-Sodium-Iodized-Salt-1-kg-Combo.jpg', 'https://cdn.zeptonow.com/production/ik-seo/tr:w-830,ar-830-830,pr-true,f-auto,q-80/inventory/product/dc08c523-279e-4bb3-a7ba-d43bba6ef33e-1Y3P83WEhlYrW2JKTf1Jugqw79N8granb/Tata-Salt-Lite-15-Low-Sodium-Iodized-Salt-1-kg-Combo.jpeg', 'https://cdn.zeptonow.com/production/ik-seo/tr:w-920,ar-920-920,pr-true,f-auto,q-80/inventory/product/dc08c523-279e-4bb3-a7ba-d43bba6ef33e-1Bs-Mwk9RQQpAyjwUlfmyDG-lEg8P6Ulm/Tata-Salt-Lite-15-Low-Sodium-Iodized-Salt-1-kg-Combo.jpeg', 'https://cdn.zeptonow.com/production/ik-seo/tr:w-1210,ar-1210-700,pr-true,f-auto,q-80/inventory/IMAGE/c55e1c9f-8d21-4153-bf29-46892d57c616-Screenshot_2022-08-26_at_15.35.02/Tata-Salt-Lite-15-Low-Sodium-Iodized-Salt-1-kg-Combo.png']","{'Brand': 'Tata', 'Weight': '1 kg x 2'}","{'Disclaimer': 'All images are for representational purposes only. It is advised that you read the batch and manufacturing details, directions for use, allergen information, health and nutritional claims (wherever applicable), and other details mentioned on the label before consuming the product. For combo items, individual prices can be viewed on the page.', 'Customer Care Details': 'In case of any issue, contact us E-mail address: support@zeptonow.com', 'Seller Name': 'Drogheria Sellers Private Limited', 'Seller Address': 'Brigade IRV, 9th & 10th Floors, Nallurhalli, White Field, Bangalore, Banglore, Karnataka, India, 560066 For Support ReachOut : support+drogheria@zeptonow.com', 'Seller License No.': '11522998001570'}",Zepto Tata Salt Lite 1000g 40.0 rupees
104,"Saffola Gold Oil, Power of 3, Pouch 1 l Combo",1 l X 3,₹555,14% Off,₹651,Cooking Essentials,"['https://cdn.zeptonow.com/production/ik-seo/tr:w-1280,ar-1494-1494,pr-true,f-auto,q-80/cms/product_variant/68d3eeb2-a253-43f0-a5f3-c3e01d56c3b7/Saffola-Gold-Oil-Power-of-3-Pouch-1-l-Combo.jpg', 'https://cdn.zeptonow.com/production/ik-seo/tr:w-1210,ar-1210-700,pr-true,f-auto,q-80/inventory/IMAGE/c55e1c9f-8d21-4153-bf29-46892d57c616-Screenshot_2022-08-26_at_15.35.02/Saffola-Gold-Oil-Power-of-3-Pouch-1-l-Combo.png']","{'Brand': 'Saffola', 'Weight': '1 L x 3'}","{'Disclaimer': 'All images are for representational purposes only. It is advised that you read the batch and manufacturing details, directions for use, allergen information, health and nutritional claims (wherever applicable), and other details mentioned on the label before consuming the product. For combo items, individual prices can be viewed on the page.', 'Customer Care Details': 'In case of any issue, contact us E-mail address: support@zeptonow.com', 'Seller Name': 'Drogheria Sellers Private Limited', 'Seller Address': 'Brigade IRV, 9th & 10th Floors, Nallurhalli, White Field, Bangalore, Banglore, Karnataka, India, 560066 For Support ReachOut : support+drogheria@zeptonow.com', 'Seller License No.': '11522998001570'}",Zepto Saffola Gold Oil (Pouch) 1000g 215.0 rupees
105,Fortune Sunlite Refined Sunflower Oil | Jar,4.35 kg,₹768,16% Off,₹920,Cooking Essentials,"['https://cdn.zeptonow.com/production/ik-seo/tr:w-1280,ar-2253-3256,pr-true,f-auto,q-80/cms/product_variant/15e1ede0-00da-4222-8954-58c37c35d5e9/Fortune-Sunlite-Refined-Sunflower-Oil-Jar.jpg', 'https://cdn.zeptonow.com/production/ik-seo/tr:w-1280,ar-2688-3600,pr-true,f-auto,q-80/cms/product_variant/9e361915-5dee-43b1-8ff3-ad0c901564a9/Fortune-Sunlite-Refined-Sunflower-Oil-Jar.jpg', 'https://cdn.zeptonow.com/production/ik-seo/tr:w-1000,ar-1000-1000,pr-true,f-auto,q-80/inventory/product/e29f5028-b7a0-4b9a-a33d-e5af1b3df583-1i8wsEuzdDmjSCPbSZ323bHnbeI1Nh0me/Fortune-Sunlite-Refined-Sunflower-Oil-Jar.jpeg', 'https://cdn.zeptonow.com/production/ik-seo/tr:w-1000,ar-1000-1000,pr-true,f-auto,q-80/inventory/product/e29f5028-b7a0-4b9a-a33d-e5af1b3df583-1zxys_AL90U6R3MaaXAk0oSkZpLd3ZQ3G/Fortune-Sunlite-Refined-Sunflower-Oil-Jar.jpeg', 'https://cdn.zeptonow.com/production/ik-seo/tr:w-1210,ar-1210-700,pr-true,f-auto,q-80/inventory/IMAGE/c55e1c9f-8d21-4153-bf29-46892d57c616-Screenshot_2022-08-26_at_15.35.02/Fortune-Sunlite-Refined-Sunflower-Oil-Jar.png']","{'Organic': 'No', 'Brand': 'Fortune', 'Dietary Preference': 'Veg', 'Fssai License': '10824999000554', 'Ingredients': 'Refined sunflower oil, permitted antioxidant-tbhq (e-319), vitamin a and vitamin d.', 'Key Features': 'Light and healthy easy to digest cooking oil, Rich in vitamins for skin and immunity, High smoke point ideal for all cooking', 'Model Name': 'Sunlite', 'Nutrition Information': 'Energy (kcal) 900.0, Protein (g) 0.0, Fat (g) 100.0, Carbohydrate (g) 0.0, Sugars (g) 0.0', 'Packaging Type': 'Can', 'Unit': '1 pc', 'Processing Type': 'Cold Pressed', 'Product Type': 'Sunflower Oil', 'Storage Instruction': 'Store in a cool, dry and hygienic place and avoid direct sunlight', 'Used For': 'Cooking, Frying, and Sauteing', 'Weight': '5 L'}","{'Disclaimer': 'All images are for representational purposes only. It is advised that you read the batch and manufacturing details, directions for use, allergen information, health and nutritional claims (wherever applicable), and other details mentioned on the label before consuming the product. For combo items, individual prices can be viewed on the page.', 'Customer Care Details': 'In case of any issue, contact us E-mail address: support@zeptonow.com', 'Seller Name': 'Drogheria Sellers Private Limited', 'Seller Address': 'Brigade IRV, 9th & 10th Floors, Nallurhalli, White Field, Bangalore, Banglore, Karnataka, India, 560066 For Support ReachOut : support+drogheria@zeptonow.com', 'Seller License No.': '11522998001570', 'Manufacturer Name': 'Adani Wilmar Limited', 'Manufacturer Address': 'Adani Wilmar Limited, Adani Corporate House, Shantigram, Near Vaishnodevi Circle, S G Highway, Ahmedabad-382421, Gujarat, India.', 'Country Of Origin': 'India', 'Shelf Life': '12 months'}",Zepto Fortune Sunlite Refined Sunflower (Jar) 5000g 925.0 rupees
106,Fortune Rice Bran - Pouch 1 l Combo,1 l X 2,₹354,15% Off,₹418,Cooking Essentials,"['https://cdn.zeptonow.com/production/ik-seo/tr:w-1280,ar-1494-1494,pr-true,f-auto,q-80/cms/product_variant/88852c01-d1c4-43c3-8ab9-5a6ea17a76dc/Fortune-Rice-Bran-Pouch-1-l-Combo.jpg', 'https://cdn.zeptonow.com/production/ik-seo/tr:w-1210,ar-1210-700,pr-true,f-auto,q-80/inventory/IMAGE/c55e1c9f-8d21-4153-bf29-46892d57c616-Screenshot_2022-08-26_at_15.35.02/Fortune-Rice-Bran-Pouch-1-l-Combo.png']","{'Brand': 'Fortune', 'Weight': '1 L x 2'}","{'Disclaimer': 'All images are for representational purposes only. It is advised that you read the batch and manufacturing details, directions for use, allergen information, health and nutritional claims (wherever applicable), and other details mentioned on the label before consuming the product. For combo items, individual prices can be viewed on the page.', 'Customer Care Details': 'In case of any issue, contact us E-mail address: support@zeptonow.com', 'Seller Name': 'Geddit Convenience Private Limited', 'Seller Address': 'Geddit Convenience Private Limited, Unit 803, Lodha Supremus, Saki Vihar Road, Opp MTNL, Office, Powai, Mumbai, Maharashtra, India,400072 For Support ReachOut : support+geddit@zeptonow.com', 'Seller License No.': '11521998000248'}",Zepto Fortune Rice Bran (Pouch) 1000g 225.0 rupees
